primeDepth,primeCorrect,stimDepth,orientation,contrast,frequency,latency,correct
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,90,1.0,[20. 20.],52,True
33.0,True,50.0,90,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],36,True
33.0,True,50.0,0,1.0,[20. 20.],28,False
33.0,True,50.0,0,1.0,[20. 20.],32,False
33.0,True,50.0,0,1.0,[20. 20.],36,True
33.0,True,50.0,0,1.0,[20. 20.],36,False
33.0,True,50.0,0,1.0,[20. 20.],40,True
33.0,True,50.0,0,1.0,[20. 20.],40,False
33.0,False,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],44,True
33.0,True,50.0,0,1.0,[20. 20.],44,False
33.0,True,50.0,0,1.0,[20. 20.],48,False
33.0,True,50.0,0,1.0,[20. 20.],52,True
33.0,True,50.0,90,1.0,[20. 20.],52,False
33.0,False,50.0,0,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],56,False
33.0,False,50.0,0,1.0,[20. 20.],60,True
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,0,1.0,[20. 20.],60,True
33.0,True,50.0,0,1.0,[20. 20.],60,True
